Q14942930	Wikimedia subject-area collaboration
Q5132817	Lamprocles
Q371467	Scopus
Q190523	Christopher Plummer
Q19357622	imprudence
Q39689	Alchemy
Q622616	Mount Lu
Q9599216	Category:Defense
Q65109596	Arkeologisen kulttuuriperinnön opas
Q313	Venus
Q212858	Ask and Embla
Q10913056	Historical Chinese
Q56429795	Preservatives
Q55274468	Category:Coke (fuel)
Q335101	Peking opera
Q101051813	big and small
Q66425236	neck of organ
Q189447	risk management
Q104630642	Category:Views of bicycles
Q506	flower
Q6526621	Category:Shanxi
Q7977477	Category:Burials in Paris by place
Q7242589	Price Increase and Famine Resistance Committee
Q11994045	syllabification
Q1083709	pincushion
Q7163649	Category:Roofs
Q29584242	crop and animal production, hunting and related service activities
Q1107656	garden
Q9219237	Category:Deaths in Nanjing
Q379813	bean
Q3474439	Savage Eye
Q14914252	cation binding
Q54453625	increment
Q48298	shofar
Q7163246	Category:Wikipedia categories named after actors
Q97013442	Open Data Portal Italy
Q12368323	list of singers
Q12132769	oil and gas field
Q2528683	function
Q5372350	test validity
Q544027	geography of Antigua and Barbuda
Q112117722	division in classification of productive activities
Q18555006	teeth hard tissue disease
Q645920	Protestation at Speyer
Q3621199	peanut
Q7463363	Category:Births in the United Kingdom
Q19954673	Pageant Material
Q6189723	Category:Asphalt
Q56887384	Suitable for a general audience
Q526384	Project
Q44142	Bad
Q15408382	Phillip Johnston
Q718570	circuit
Q404330	Additive
Q106831324	light
Q2533722	foregut
Q184485	performing arts
Q60300035	Pestis
Q26678733	12
Q131364	New York Knicks
Q765633	aviation
Q12754227	criminality
Q60198660	zoomorph
Q223867	brain death
Q43192	flag of France
Q223200	Euroscepticism
Q271588	printmaking
Q11748380	Krowa
Q886837	blood test
Q55273760	Category:Drops
Q53709967	Government of Connecticut
Q11362158	world geography
Q5535216	geography of Ontario
Q6956042	NYC Condom
Q61882239	Diatoms
Q1517374	history of radio
Q3241972	character
Q8085066	Category:Paul McCartney and Wings members
Q51974	Hamburger SV
Q252	Indonesia
Q1442455	polo stick
Q170658	creativity
Q4438147	game-based sport
Q4164344	documentary
Q3748126	soy cheese
Q108812003	Hermit Inc.
Q3278478	municipality of Paris
Q1898432	snow science
Q2140339	wheel hub assembly
Q97142689	Open Data Tallinn
Q8583296	Category:Lasers
Q62602544	eating and lodging
Q9671767	Category:Keeps
Q321	Milky Way
Q1050405	Emerge
Q112869455	Flora Reipublicae Popularis Sinicae, volume 57(1)
Q70330439	TRI6
Q791620	Aware
Q83412997	Almanzora basin
Q4425763	interlocutor
Q98607365	atmospheric nuclear test
Q46139495	Academic Division of Mathematics and Physics of the Chinese Academy of Sciences
Q2165017	flash of light
Q56299528	bonsai artist
Q3546112	Types of insurance contracts
Q162586	Dream Theater
Q17343829	unincorporated community in the United States
Q3087886	leaf blade
Q5076869	history of the social sciences
Q1459900	Tentative World Heritage Site
Q18008981	Vladimir Nikolayev
Q33767	hand
Q186148	history of computing hardware
Q1059863	women's magazine
Q188739	envy
Q7486603	Category:Health
Q7220165	Category:Iodine
Q6770434	Category:Vitamins
Q6620915	Category:Headquarters
Q897278	Parliament of Tuvalu
Q7416737	Category:Cell nucleus
Q50622697	Illegal sales of cigarettes to minors--Mexico City, Mexico, 1997.
Q10586483	Misunderstood
Q1404827	The Fens
Q23786	eye color
Q3406575	grapefruit and pomelo
Q178559	poultry
Q167296	cider
Q895526	organ
Q15	Africa
Q83620	thoroughfare
Q24245823	small
Q1186710	dollar coin
Q1370895	human mouth
Q3885825	external orifice of uterus
Q111592219	Lilo & Stitch universe
Q3074	traffic code
Q223393	literary genre
Q229363	North
Q836904	brewer
Q7222968	Template:Statistics
Q28829877	sports terminology
Q8205284	popular art
Q81621610	raw whole-muscle cut
Q55242939	Category:Zippers
Q55977389	Category:Philosophy departments
Q168983	conflagration
Q112872396	type of educational institution
Q875592	Japanese studies
Q4541810	Portal:Science
Q1789452	criterion
Q997233	white box
Q4227944	Colleagues
Q111045633	squirrel skin
Q327968	facial expression
Q13377687	bun
Q7270	republic
Q38900	.cn
Q110304307	two-dimensional visual artwork
Q19973	Numb
Q385348	proscenium
Q162378	grammatical gender
Q2615451	atmospheric circulation
Q6336083	Category:Payments
Q238	San Marino
Q87800199	Kuc
Q82046811	print book format
Q909510	general chemistry
Q96251665	G3
Q1595426	medicinal plant of the year
Q70330436	regulatory
Q170475	oscillation
Q16157710	Able
Q326301	broiler
Q7370671	gourd
Q23958852	variable-order class
Q325190	Harold F. Kress
Q1249010	Nat Wolff
Q102177645	economy of Suzhou
Q5306281	lingual veins
Q4135628	geography of Moscow
Q110832782	software resource
Q2088547	geography of the Central African Republic
Q12269769	major appliance
Q63710879	CSSCI (2019-2020) source journal catalog
Q7116595	Category:People from Uttar Pradesh
Q983927	major
Q685744	termination of employment
Q8873062	Category:Mercury (element)
Q4536585	laying capacity
Q618036	flag of Toronto
Q42349020	free limb
Q85513	Portal:Sociology
Q1499786	climb
Q8164367	Category:Watches
Q107262066	fatty meat
Q327274	Swabian
Q9259	UNESCO World Heritage Site
Q110382671	string length
Q41540	BIND
Q717	Venezuela
Q59927255	Vouchers (NAID 93196638)
Q2561741	crane driver
Q11587	bleach
Q8805	bit
Q724178	cent
Q204664	antenna
Q62	San Francisco
Q39594	bay
Q5486209	Harriet
Q10902288	Beijing Municipal Intangible Cultural Heritage
Q6183912	Category:Passeridae
Q1457828	Category:Visual arts
Q16482010	economy of Moscow
Q5902995	Template:Infobox train
Q516826	Dirrty
Q10131406	Category:Tallinn-related lists
Q54371745	backing choir
Q23567	Lost
Q1293511	cortex
Q13415274	Template:Internet
Q11158	acid
Q12799272	path
Q7747	Vladimir Putin
Q24897655	works
Q721747	commemorative plaque
Q9165140	Baquet
Q62562253	incompetence
Q9180322	piercing-cutting weapon
Q17147	egg
Q477248	pastry
Q389980	staple remover
Q1997	carbon dioxide
Q8084116	East Asian necked lute
Q18195680	shoe style
Q37645474	Logical fallacies in animal model research
Q1339255	receiver
Q344983	Babyface
Q1025847	Don Gilmore
Q13428690	After Reading Shakespeare
Q112869376	Flora Reipublicae Popularis Sinicae, volume 7
Q1983866	Category:Christianity
Q15924671	snake meat
Q4970706	Federal Chancellor of Germany
Q207961	shape
Q1792372	character
Q7427661	Category:Harmony
Q62646	Germania
Q21167876	asphalt exposure
Q9147864	Category:Production economics
Q95444384	Crutches
Q15659642	WikiProject Television series
Q106727050	Metropolitan Museum of Art Tagging Vocabulary
Q106904955	reindeer calf
Q96251375	type of policy
Q1065	United Nations
Q53764738	Chinese character
Q28966983	Chief Minister of Uttar Pradesh
Q229088	list of seas
Q103843042	organism subdivision type
Q26711936	IEC 80000-6:2008 Quantities and units—Part 6: Electromagnetism
Q24670071	Public health interventions and epidemic intensity during the 1918 influenza pandemic
Q190527	alum
Q400244	Windows Runtime
Q8795	Internet Protocol
Q7216162	Category:Corruption
Q80083	humanities
Q7978035	Wealthy
Q7416594	Category:Hefei
Q645208	geography of New York City
Q43213808	seven prismatic colors
Q191851	vase
Q7062366	Category:Police officers
Q3934729	receipt
Q17487605	Category:Births in Shenzhen
Q24899836	construction work
Q14923076	Canada West
Q107435521	record
Q537098	fiduciary
Q56274905	Laces
Q2532276	Volkstum
Q4204823	history of childhood
Q11527431	Higashi-Yokobori River
Q7112676	outline of knowledge
Q1993738	Ruisbroek
Q170079	minor
Q60346	National Institute for Occupational Safety and Health
Q37713312	married
Q5088855	Cheap Records
Q178651	interview
Q223642	interpersonal relationship
Q7977969	weak typing
Q22889	Bath
Q7011046	Category:Trousers and shorts
Q8982406	Category:Pottery
Q8008	earth science
Q4550895	15 certificate
Q7238000	Category:Cars
Q1930187	journalist
Q6883638	Jacob Goldwasser
Q11060274	print
Q16944487	waiting
Q2284228	Apium
Q112898263	WikiProject Intangible Cultural Heritage
Q12079357	architectural activity
Q1800324	store
Q21075684	children
Q104007623	anatomical entity class type
Q4116298	Vice-Chairperson of the National Committee of the Chinese People's Political Consultative Conference
Q2515458	Constitutional Court of the State of Berlin
Q30318006	stellar surface
Q108284914	teaching professionals
Q1184312	delisting
Q410918	antivitamin
Q95422148	Measure blood pressure in both arms.  A significant difference may point to increased cardiac risk
Q18448934	carving
Q838368	black and white
Q107197071	electric lamp
Q1185	Karnataka
Q3456979	polymer science
Q48676558	Category:Towels
Q1646209	list of aircraft carriers
Q1422823	Economy and Society
Q29614259	Transformation of mammalian cells to antibiotic resistance with a bacterial gene under control of the SV40 early region promoter
Q42240	research
Q29051546	1 National
Q659292	Haste
Q9230	Category:Constellations
Q217541	sunglasses
Q3497167	gravity dam
Q45833	Qinghai
Q990683	softcover
Q171663	Great Seal of the United States
Q7112786	outline of the United States
Q63812927	developmental stage of plant
Q25391834	mistake
Q28485672	House of Cao
Q108816154	inexperience
Q56299222	agricultural production
Q22261015	gourmet
Q332711	President of Italy
Q12037089	microsporophyll
Q24952256	waxing gibbous moon
Q8411332	Category:Electron
Q16874635	traffic police
Q232152	One Day
Q9381354	Wąż
Q1411008	Category:Russia
Q133132	Paris Commune
Q3494271	archive document
Q180432	Emirates
Q8157331	Category:Watercolor painting
Q2357686	Flownet
Q8817606	Category:Corrosion
Q63676707	seafront
Q852520	reinforcement
Q772630	main course
Q16055052	A Naval Biographical Dictionary
Q37002670	unicameral legislature
Q110227091	earliness
Q55250246	Category:Razors
Q21075709	delay
Q7014659	Category:Writing
Q1235601	Dolina (Dolyna)
Q56139	liquor
Q3114830	Great Seal of the Realm
Q13294463	survey methodologist
Q9340736	spiral spring
Q2116228	bull market
Q55670179	seat
Q11721289	Category:Cuts (earthmoving)
Q165775	flag of the Central African Republic
Q9341161	Municipal Stadium in Ełk Stefan Marcinkiewicz
Q1517472	history of radar
Q621636	route of administration
Q112119612	Portal:Communications
Q16535991	Chemia
Q87524162	↓
Q16842857	hexis
Q19832479	vessel class
Q12008699	utvalg
Q8748	Albanian
Q27976816	non-discrimination
Q31059027	Category:Burials in Shanghai
Q37913	.uk
Q92429087	Silver Anvil Awards
Q5333796	economy of Toronto
Q208902	19
Q34433	University of Oxford
Q974144	educator
Q131436	board game
Q7152635	Category:Building materials
Q101757284	Template:Infobox integer
Q182060	office
Q59960085	WikiProject Alphabet
Q5749238	cariology
Q5036399	capsule of lens
Q22978151	low spot
Q4903358	bibliography of India
